source,symbol,name,sourceAddress,sourceDecimals,coingeckoId,logo,solAddress,solDecimals,ethAddress,ethDecimals,bscAddress,bscDecimals,terraAddress,terraDecimals,maticAddress,maticDecimals,avaxAddress,avaxDecimals,oasisAddress,oasisDecimals,algorandAddress,algorandDecimals,ftmAddress,ftmDecimals,auroraAddress,auroraDecimals,karuraAddress,karuraDecimals,acalaAddress,acalaDecimals,klaytnAddress,klaytnDecimals,celoAddress,celoDecimals,nearAddress,nearDecimals,moonbeamAddress,moonbeamDecimals,terra2Address,terra2Decimals,injectiveAddress,injectiveDecimals,xplaAddress,xplaDecimals,optimismAddress,optimismDecimals,arbitrumAddress,arbitrumDecimals,aptosAddress,aptosDecimals,baseAddress,baseDecimals
sol,BONK,BONK (Portal),DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,5.0,bonk,https://raw.githubusercontent.com/wormhole-foundation/wormhole-token-list/main/src/logogen/base/BONK.png,,,0x1151CB3d861920e07a38e03eEAd12C32178567F6,5.0,0xA697e272a73744b343528C3Bc4702F2565b2F422,5.0,,,0xe5B49820e5A1063F6F4DdF851327b5E8B2301048,5.0,,,,,,,,,,,,,,,,,,,,,,,,,inj14rry9q6dym3dgcwzq79yay0e9azdz55jr465ch,5.0,,,,,0x09199d9a5f4448d0848e4395d065e1ad9c4a1f74,5.0,0x2a90fae71afc7460ee42b20ee49a9c9b29272905ad71fef92fbd8b3905a24b56,5.0,,
sol,KING,KING (Portal),9noXzpXnkyEcKF3AeXqUHTdR59V5uvrRBUZ9bwfQwxeq,9.0,king,"https://static.wixstatic.com/media/326cf0_041cbca6882f4388b105ed00ac68188c~mv2.png/v1/crop/x_77,y_0,w_343,h_358/fill/w_319,h_332,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/326cf0_041cbca6882f4388b105ed00ac68188c~mv2.png",,,0xE28027c99C7746fFb56B0113e5d9708aC86fAE8f,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sol,RAY,Raydium (Portal),4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,6.0,raydium,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R/logo.png,,,0xE617dd80c621a5072bD8cBa65E9d76c07327004d,6.0,0x13b6A55662f6591f8B8408Af1C73B017E32eEdB8,6.0,terra1ht5sepn28z999jx33sdduuxm9acthad507jg9q,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sol,SBR,Saber (Portal),Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,6.0,saber,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1/logo.svg,,,,,0x75344E5693ed5ecAdF4f292fFeb866c2cF8afCF1,6.0,terra17h82zsq6q8x5tsgm5ugcx4gytw3axguvzt4pkc,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sol,SOL,SOL (Portal),So11111111111111111111111111111111111111112,9.0,solana,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/So11111111111111111111111111111111111111112/logo.png,,,0xD31a59c85aE9D8edEFeC411D448f90841571b89c,9.0,0xfA54fF1a158B5189Ebba6ae130CEd6bbd3aEA76e,9.0,terra190tqwgqx7s8qrknz6kckct7v607cu068gfujpk,8.0,0xd93f7e271cb87c23aaa73edc008a79646d1f9912,9.0,0xFE6B19286885a4F7F55AdAD09C3Cd1f906D2478F,9.0,0xd17dDAC91670274F7ba1590a06EcA0f2FD2b12bc,9.0,,,0xd99021C2A33e4Cf243010539c9e9b7c52E0236c1,9.0,,,,,,,,,,,,,,,,,inj1sthrn5ep8ls5vzz8f9gp89khhmedahhdkqa8z3,8.0,,,,,,,,,,
sol,SRMso,Serum (Portal from Solana),SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,6.0,serum,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG/logo.png,,,0xE3ADAA4fb7c92AB833Ee08B3561D9c434aA2A3eE,6.0,0x12BeffdCEcb547640DC30e1495E4B9cdc21922b4,6.0,terra1dkam9wd5yvaswv4yq3n2aqd4wm5j8n82qc0c7c,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sol,TBTC,Threshold Bitcoin,6DNSN2BJsaPFdFFc1zP37kkeNe4Usc1Sqkzr9C9vPWcU,18.0,tbtc,https://assets.coingecko.com/coins/images/11224/small/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1674474504,,,0x18084fbA666a33d37592fA2633fD49a74DD93a88,8.0,,,,,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40,8.0,0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40,8.0,,,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,8.0
sol,USDCso,USD Coin (Portal from Solana),EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6.0,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,,,0x41f7B8b9b897276b7AAE926a9016935280b44E97,6.0,0x91Ca579B0D47E5cfD5D0862c21D5659d39C8eCf0,6.0,terra1e6mq63y64zcxz8xyu5van4tgkhemj3r86yvgu4,6.0,0x576cf361711cd940cd9c397bb98c4c896cbd38de,6.0,0x0950Fc1AD509358dAeaD5eB8020a3c7d8b43b9DA,6.0,0x1d1149a53deB36F2836Ae7877c9176413aDfA4A8,6.0,,,0xb8398DA4FB3BC4306B9D9d9d13d9573e7d0E299f,6.0,0xDd1DaFedeBa5F9851C4F4a2876E0f3aF3c774B1A,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sol,USDTso,Tether USD (Portal from Solana),Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6.0,tether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,,,0x1CDD2EaB61112697626F7b4bB0e23Da4FeBF7B7C,6.0,0x49d5cC521F75e13fa8eb4E89E9D381352C897c96,6.0,terra1hd9n65snaluvf7en0p4hqzse9eqecejz2k8rl5,6.0,0x3553f861dec0257bada9f8ed268bf0d74e45e89c,6.0,0xF0FF231e3F1A50F83136717f287ADAB862f89431,6.0,0x24285C5232ce3858F00bacb950Cae1f59d1b2704,6.0,,,,,0xd80890AFDBd7148456D8Ee358eF9127F0F8c7faf,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sol,XTAG,XTAG Token (Portal),5gs8nf4wojB5EXgDUWNLwXpknzgV2YWDhveAeBZpVLbp,6.0,xhashtag,https://raw.githubusercontent.com/sudomon/wormhole-token-list/main/src/logogen/base/xtag.png,,,,,,,,,,,0xa608d79c5f695c0d4c0e773a4938b57e18e0fc57,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sol,ZBC,Wrapped Zebec Token,wzbcJyhGhQDLTV1S99apZiiBdE4jmYfbw99saMMdP59,9.0,zebec-protocol,https://raw.githubusercontent.com/Zebec-protocol/zebec-assets/master/wrap-logo.png,,,,,0x37a56cdcd83dce2868f721de58cb3830c44c6303,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
